timestamp,worker_id,session_id,prompt_code,temperature,frequency_penalty,num_query,num_selected,perc_selected,num_cursor,time,num_event,written_by_human
8/17/2021 9:14:35,A2RUHO7I7Y4XFA,64e545e776c1466687f0fe0dc8bb0d88,mattdamon,0.3,0,12,9,75,65,18.31,2966,80
8/17/2021 9:17:29,A2ONILC0LZKG6Y,13ff0c5ffe4341a8bcec84ef343a9359,mattdamon,0.3,0,14,9,64,24,16.17,2455,78
8/17/2021 9:37:29,A2RUHO7I7Y4XFA,fbd7e4482a5d4be7b725b2a5be5406bb,reincarnation,0.75,1,8,3,38,23,12.32,2471,90
8/17/2021 9:38:48,A1PTH9KTRO06EG,da4fed90272b41edb41f63fed4a928f0,obama,0.75,1,3,2,67,0,9.83,2008,95
8/18/2021 0:00:05,A2WGW5Y3ZFBDEC,8393a8ed335f438c9ad5ca3d25a947b6,pig,0.75,1,19,16,84,12,11,2355,71
8/18/2021 0:31:36,A2WGW5Y3ZFBDEC,58e702b7c7e249a0aaf762ea10f833b3,mattdamon,0.75,1,22,20,91,23,11.29,1751,55
8/18/2021 0:48:30,A2WGW5Y3ZFBDEC,98de646c88b04772b24503cb24056236,mattdamon,0.75,1,27,23,85,20,12.16,2083,60
8/18/2021 10:02:13,A2EED3HLTA96CP,0fe679b3bb1a472bb1d375c1c58e3687,dad,0.75,1,11,6,55,47,11.01,1144,79
8/18/2021 10:03:19,A2QX3YJXAAHHVV,0701c34e77564a46accbddb80138116c,mattdamon,0.75,1,12,7,58,47,12.23,1628,75
8/18/2021 10:08:24,A1PTH9KTRO06EG,ba6d32a6c29a4bfeacf1e25a87a1f804,dad,0.75,1,8,5,62,4,10.01,2262,89
8/18/2021 10:23:04,A2EED3HLTA96CP,3d6a7c48810349b4a145b117bd38afa9,reincarnation,0.75,1,16,15,94,30,11.08,950,56
8/18/2021 10:23:32,A2QX3YJXAAHHVV,8610d3166aea4491b673112459745fc1,mana,0.3,0,29,16,55,36,10.48,1221,41
8/18/2021 10:43:31,A2EED3HLTA96CP,b15bdf5fdb764c3b97f9ec4ab3d348e3,isolation,0.3,0,16,11,69,64,12.46,935,48
8/18/2021 11:30:38,A2QX3YJXAAHHVV,5fe6fd486c824ec9ae9f7a5cfe422491,bee,0.3,0,13,12,92,56,11.78,1604,73
8/18/2021 11:49:20,A2QX3YJXAAHHVV,931c030acd5e41b1bfac856da1aeb8e3,obama,0.3,0,31,29,94,32,12.06,1377,48
8/18/2021 12:21:14,A2QX3YJXAAHHVV,ca8ad78852e7427598cb82fa420483b4,obama,0.75,1,36,35,97,25,10.3,537,7
8/18/2021 12:41:07,A2ONILC0LZKG6Y,06209e0aab79451d994d756ff3542754,isolation,0.75,1,11,7,64,63,17.29,2967,86
8/18/2021 12:43:16,A2QX3YJXAAHHVV,61365e6b13164a04b33e0c5b18aa73c8,isolation,0.75,1,26,24,92,26,9.39,653,15
8/18/2021 12:52:17,APRZ7BR8C0ZMQ,a4f09dbc1ed0489399cf6d1db00c5a89,mana,0.3,0,4,3,75,5,13.08,2714,96
8/18/2021 13:15:48,A2WGW5Y3ZFBDEC,7db807f901e64357a4ebcee6908e8755,obama,0.75,1,18,15,83,1,10.56,2019,74
8/18/2021 13:15:58,A3VEF4M5FIN7KH,e81d6b763cc44618a315a087b3ff155c,reincarnation,0.75,1,7,5,71,64,15.27,2680,84
8/18/2021 13:37:08,A1PTH9KTRO06EG,cfec8b365d874b18a765ce4afd83b125,isolation,0.3,0,20,14,70,21,9.87,1457,53
8/18/2021 13:38:32,A2WGW5Y3ZFBDEC,e195e7359d4c4557a26c6130a30d5f88,obama,0.75,1,21,14,67,2,12.02,2241,78
8/18/2021 13:50:52,A3VEF4M5FIN7KH,5d97592b669a4155b2f8d7308d649c0d,pig,0.3,0,28,13,46,11,18.82,3491,78
