worker_id,writing_type,prompt_code,Cluster
A2W121DQXNQK1,argumentative,stereotype,"0,2"
A2W121DQXNQK1,creative,bee,"2,0,1"
A2W121DQXNQK1,creative,dad,"2,0,1"
A2W121DQXNQK1,creative,isolation,"2,0,1"
A2W121DQXNQK1,creative,mana,"2,0,1"
A2W121DQXNQK1,creative,mattdamon,"2,0,1"
A2W121DQXNQK1,creative,obama,"2,0,1"
A2W121DQXNQK1,creative,pig,"2,0,1"
A2W121DQXNQK1,creative,reincarnation,"2,0,1"
A2W121DQXNQK1,creative,shapeshifter,"2,0,1"
A2W121DQXNQK1,creative,sideeffect,"2,0,1"
A2WGW5Y3ZFBDEC,argumentative,animal,"1,0"
A2WGW5Y3ZFBDEC,argumentative,athletes,"1,0"
A2WGW5Y3ZFBDEC,argumentative,audiobook,"1,0"
A2WGW5Y3ZFBDEC,argumentative,dating,"1,0"
A2WGW5Y3ZFBDEC,argumentative,extremesports,"1,0"
A2WGW5Y3ZFBDEC,argumentative,news,"1,0"
A2WGW5Y3ZFBDEC,argumentative,pads,"1,0"
A2WGW5Y3ZFBDEC,argumentative,school,"1,0"
A2WGW5Y3ZFBDEC,argumentative,screen,"1,0"
A2WGW5Y3ZFBDEC,argumentative,stereotype,"1,0"
A2WGW5Y3ZFBDEC,creative,bee,"0,2,1"
A2WGW5Y3ZFBDEC,creative,dad,"0,2,1"
A2WGW5Y3ZFBDEC,creative,isolation,"0,2,1"
A2WGW5Y3ZFBDEC,creative,mana,"0,2,1"
A2WGW5Y3ZFBDEC,creative,mattdamon,"0,2,1"
A2WGW5Y3ZFBDEC,creative,obama,"0,2,1"
A2WGW5Y3ZFBDEC,creative,pig,"0,2,1"
A2WGW5Y3ZFBDEC,creative,reincarnation,"0,2,1"
A2WGW5Y3ZFBDEC,creative,shapeshifter,"0,2,1"
A2WGW5Y3ZFBDEC,creative,sideeffect,"0,2,1"
A2YTQDLACTLIBA,argumentative,animal,"0,2"
A2YTQDLACTLIBA,argumentative,athletes,"0,2"
A2YTQDLACTLIBA,argumentative,audiobook,"0,2"
A2YTQDLACTLIBA,argumentative,extremesports,"0,2"
A2YTQDLACTLIBA,argumentative,news,"0,2"
A2YTQDLACTLIBA,argumentative,pads,"0,2"
A2YTQDLACTLIBA,argumentative,school,"0,2"
A2YTQDLACTLIBA,argumentative,screen,"0,2"
A2YTQDLACTLIBA,argumentative,stereotype,"0,2"
A2YTQDLACTLIBA,creative,bee,"2,0"
A2YTQDLACTLIBA,creative,dad,"2,0"
A2YTQDLACTLIBA,creative,mattdamon,"2,0"
A2YTQDLACTLIBA,creative,obama,"2,0"
A2YTQDLACTLIBA,creative,pig,"2,0"
A2YTQDLACTLIBA,creative,reincarnation,"2,0"
A2YTQDLACTLIBA,creative,shapeshifter,"2,0"
A324VBRLXHG5IB,argumentative,athletes,0
A324VBRLXHG5IB,argumentative,news,0
A324VBRLXHG5IB,argumentative,stereotype,0
A324VBRLXHG5IB,creative,bee,"0,2"
A324VBRLXHG5IB,creative,dad,"0,2"
A324VBRLXHG5IB,creative,isolation,"0,2"
A324VBRLXHG5IB,creative,mana,"0,2"
A324VBRLXHG5IB,creative,mattdamon,"0,2"
A324VBRLXHG5IB,creative,obama,"0,2"
A324VBRLXHG5IB,creative,pig,"0,2"
A324VBRLXHG5IB,creative,reincarnation,"0,2"
A324VBRLXHG5IB,creative,sideeffect,"0,2"
A345TDMHP3DQ3G,argumentative,athletes,1
A345TDMHP3DQ3G,argumentative,audiobook,1
A345TDMHP3DQ3G,argumentative,dating,1
A345TDMHP3DQ3G,argumentative,extremesports,1
A345TDMHP3DQ3G,argumentative,news,1
A345TDMHP3DQ3G,argumentative,pads,1
A345TDMHP3DQ3G,argumentative,school,1
A345TDMHP3DQ3G,argumentative,screen,1
A345TDMHP3DQ3G,argumentative,stereotype,1
A345TDMHP3DQ3G,creative,bee,"2,1,0"
A345TDMHP3DQ3G,creative,dad,"2,1,0"
A345TDMHP3DQ3G,creative,isolation,"2,1,0"
A345TDMHP3DQ3G,creative,mana,"2,1,0"
A345TDMHP3DQ3G,creative,mattdamon,"2,1,0"
A345TDMHP3DQ3G,creative,obama,"2,1,0"
A345TDMHP3DQ3G,creative,pig,"2,1,0"
A345TDMHP3DQ3G,creative,reincarnation,"2,1,0"
A345TDMHP3DQ3G,creative,shapeshifter,"2,1,0"
A345TDMHP3DQ3G,creative,sideeffect,"2,1,0"
A377LTGWJKY2IW,argumentative,school,"0,2"
A377LTGWJKY2IW,argumentative,stereotype,"0,2"
A3DS5B06ZCD3E3,argumentative,audiobook,"0,2"
A3DS5B06ZCD3E3,argumentative,pads,"0,2"
A3DS5B06ZCD3E3,creative,dad,"2,0"
A3DS5B06ZCD3E3,creative,isolation,"2,0"
A3DS5B06ZCD3E3,creative,mana,"2,0"
A3DS5B06ZCD3E3,creative,mattdamon,"2,0"
A3DS5B06ZCD3E3,creative,pig,"2,0"
A3DS5B06ZCD3E3,creative,reincarnation,"2,0"
A3DS5B06ZCD3E3,creative,sideeffect,"2,0"
